geo_id,area_name,year,total_population,pop_25_plus,pop_25_less_9th,pop_25_hs_grad,pop_25_bach_plus,pop_25_34,pop_25_34_bach_plus,pop_45_64_bach_plus
Geography,Geographic Area Name,2012,Total!!Estimate!!Population 18 to 24 years,Total!!Estimate!!Population 25 years and over,Total!!Estimate!!Less than 9th grade,Total!!Estimate!!High school graduate (includes equivalency),Total!!Estimate!!Graduate or professional degree,Total!!Estimate!!High school graduate or higher,Total!!Estimate!!Population 35 to 44 years,Total!!Estimate!!Bachelor's degree or higher
0400000US36,New York,2012,1979223,13101982,6.9,27.3,14.1,88.2,2619534,36.4
0500000US36001,"Albany County, New York",2012,41229,202976,2.6,25.8,18.5,93.7,37089,40.9
0500000US36003,"Allegany County, New York",2012,7776,30546,3.4,40.4,9.0,89.6,5150,20.7
0500000US36005,"Bronx County, New York",2012,160572,856624,15.5,27.3,6.3,76.0,187004,19.8
0500000US36007,"Broome County, New York",2012,25708,133976,3.2,32.8,11.9,91.7,22203,28.7
0500000US36009,"Cattaraugus County, New York",2012,7798,53632,4.3,41.6,7.9,90.4,9440,20.3
0500000US36011,"Cayuga County, New York",2012,7042,55679,3.4,35.6,7.6,84.5,10513,20.0
0500000US36013,"Chautauqua County, New York",2012,15291,89975,3.9,35.2,9.1,87.8,15591,22.6
0500000US36015,"Chemung County, New York",2012,8202,60801,2.5,36.1,9.1,85.9,11194,23.5
0500000US36017,"Chenango County, New York",2012,3836,35200,3.7,39.4,7.1,87.0,6114,16.2
0500000US36019,"Clinton County, New York",2012,10783,55424,5.8,36.5,9.8,88.4,10701,23.9
0500000US36021,"Columbia County, New York",2012,4859,45264,3.0,30.9,13.2,86.5,7687,29.4
0500000US36023,"Cortland County, New York",2012,8776,30373,2.7,35.1,9.8,93.5,5666,27.5
0500000US36025,"Delaware County, New York",2012,4890,33619,3.7,38.9,8.0,90.1,5141,18.0
0500000US36027,"Dutchess County, New York",2012,32524,199082,3.9,28.3,14.3,90.4,39743,34.5
0500000US36029,"Erie County, New York",2012,96272,624799,3.3,29.0,13.4,92.0,112648,35.4
0500000US36031,"Essex County, New York",2012,3102,28784,3.4,34.4,10.9,88.0,5066,22.4
0500000US36033,"Franklin County, New York",2012,5355,35699,5.4,38.7,8.6,84.5,7191,18.2
0500000US36035,"Fulton County, New York",2012,4408,38757,4.2,39.5,6.2,82.2,7268,14.0
0500000US36037,"Genesee County, New York",2012,5508,41284,3.0,37.8,7.8,93.6,7728,22.3
0500000US36039,"Greene County, New York",2012,4811,34935,5.3,39.1,8.3,81.3,6280,19.8
0500000US36041,"Hamilton County, New York",2012,257,3771,4.4,34.7,11.7,88.1,527,26.4
0500000US36043,"Herkimer County, New York",2012,5728,44564,3.4,36.2,8.2,91.6,7839,21.4
0500000US36045,"Jefferson County, New York",2012,15047,72579,2.6,35.2,8.3,92.1,14827,21.8
0500000US36047,"Kings County, New York",2012,261685,1654388,10.9,27.6,11.5,86.0,343869,33.7
0500000US36049,"Lewis County, New York",2012,2192,18259,3.9,47.0,5.5,88.8,3304,13.0
0500000US36051,"Livingston County, New York",2012,9788,42391,2.9,34.0,10.8,91.0,8144,29.0
0500000US36053,"Madison County, New York",2012,9773,47390,2.9,35.0,10.3,92.1,8732,24.7
0500000US36055,"Monroe County, New York",2012,83771,492955,3.5,25.0,15.4,91.1,92940,40.6
0500000US36057,"Montgomery County, New York",2012,4117,34275,5.1,37.0,6.5,82.6,6351,19.9
0500000US36059,"Nassau County, New York",2012,114069,915334,4.9,24.9,18.5,90.4,177601,46.7
0500000US36061,"New York County, New York",2012,174885,1183556,8.1,12.7,27.9,93.6,237946,62.5
